,Restaurant,Rating,reviewsCount,street,phone,categoryName,url,Latitude,Longitude,Restroom,Wifi Availabilty,Cost of 2 person,Payment Method
10,Shabana Bakery,4.2,5207,Chaoni Chindwada Road Poonam Chamber,+91 82377 72894,Bakery,"https://www.google.com/maps/place/Shabana+Bakery/@21.1700156,79.0797083,17z/data=!3m1!4b1!4m6!3m5!1s0x3bd4c11c4f01e9c5:0xd2bc899bc68771f3!8m2!3d21.1700156!4d79.0797083!16s%2Fg%2F124yly6lq?hl=en",21.1700156,79.0797083,Yes,Yes,846,ALL
11,Laxmi Family Garden And Restaurant,3.8,4623,"27/28, Ring Rd",,North Indian restaurant,"https://www.google.com/maps/place/Laxmi+Family+Garden+And+Restaurant/@21.122056,79.1364595,17z/data=!3m1!4b1!4m6!3m5!1s0x3bd4b89e63f8d96d:0xdf29c0abe94a67fb!8m2!3d21.122056!4d79.1364595!16s%2Fg%2F11ddw_gjpq?hl=en",21.122056,79.1364595,No,Yes,539,CASH AND UPI
12,Uttar Dakshin by Naivedhyam,4.2,4585,Balaji Corporate Park,+91 78754 44119,Indian restaurant,"https://www.google.com/maps/place/Uttar+Dakshin+by+Naivedhyam/@21.1185025,79.056843,17z/data=!3m1!4b1!4m6!3m5!1s0x3bd4bffbe980d11b:0xd864041bd761c8de!8m2!3d21.1185025!4d79.056843!16s%2Fg%2F11h0cg1cyl?hl=en",21.1185025,79.056843,Yes,Yes,562,ALL
13,Fuel Station Cafe & Restro,4.2,4306,"Kamlakar Palace, opposite NIT Garden",+91 98900 02367,Fast food restaurant,"https://www.google.com/maps/place/Fuel+Station+Cafe+%26+Restro/@21.1343815,79.0614434,17z/data=!3m1!4b1!4m6!3m5!1s0x3bd4c06300a9642b:0xc54e465d4fa9d9ec!8m2!3d21.1343815!4d79.0614434!16s%2Fg%2F1q6jkbnl7?hl=en",21.1343815,79.0614434,Yes,Yes,616,ALL
14,Mocha Cafe & Bar,4.1,4096,"202, Cement Road Shivaji Nagar",+91 712 661 4637,Bar & grill,"https://www.google.com/maps/place/Mocha+Cafe+%26+Bar/@21.137782,79.0587487,17z/data=!3m1!4b1!4m6!3m5!1s0x3bd4c066b04f752b:0x3b02cab5a7b4ba09!8m2!3d21.137782!4d79.0587487!16s%2Fg%2F1hm3f3l7y?hl=en",21.137782,79.0587487,Yes,Yes,725,ALL
15,Kareem's Hotel,4.1,3990,Ground Aman Lifestyle Building Rajnagar Paagal Khana Chowk Nelson Square,+91 70665 19199,Mughlai restaurant,"https://www.google.com/maps/place/Kareem's+Hotel/@21.1749293,79.0777007,17z/data=!3m1!4b1!4m6!3m5!1s0x3bd4c11b6e8862df:0xb12257c8dda364d8!8m2!3d21.1749293!4d79.0777007!16s%2Fg%2F11ddxkv7qw?hl=en",21.1749293,79.0777007,Yes,Yes,544,ALL
16,Ashoka Restaurant,4.2,3914,"60, Mount Rd",+91 72760 89911,Restaurant,"https://www.google.com/maps/place/Ashoka+Restaurant/@21.1592229,79.0798178,17z/data=!3m1!4b1!4m6!3m5!1s0x3bd4c0e44b320f15:0x205791b6e941be5e!8m2!3d21.1592229!4d79.0798178!16s%2Fg%2F11bv1b_dhg?hl=en",21.1592229,79.0798178,Yes,Yes,617,ALL
17,JAGDISH SAOJI BHOJANALAY,3.5,3825,"54, Subhash Rd",+91 788 761 2050,Non vegetarian restaurant,"https://www.google.com/maps/place/JAGDISH+SAOJI+BHOJANALAY/@21.1440921,79.0987489,17z/data=!3m1!4b1!4m6!3m5!1s0x3bd4c0b78ca7c6c3:0xb14080978d158b7d!8m2!3d21.1440921!4d79.0987489!16s%2Fg%2F1pp2wz6zp?hl=en",21.1440921,79.0987489,Yes,Yes,842,CASH AND UPI
18,Farmhouse Kitchen restaurent,4.2,3821,Near Ganesh Lawn East Shankar Nagar Ramdaspeth,+91 99225 22224,Indian restaurant,"https://www.google.com/maps/place/Farmhouse+Kitchen+restaurent/@21.131145,79.064159,17z/data=!3m1!4b1!4m6!3m5!1s0x3bd4c07d57290f77:0x5bb8a30813899261!8m2!3d21.131145!4d79.064159!16s%2Fg%2F11g8_swgzh?hl=en",21.131145,79.064159,Yes,Yes,576,ALL
19,Shree Ganesh Sagar Pure Veg Restaurant,4,3637,"Opp. Mayur Stationers, Coffee House Square",+91 94221 10865,South Indian restaurant,"https://www.google.com/maps/place/Shree+Ganesh+Sagar+Pure+Veg+Restaurant/@21.1421707,79.061653,17z/data=!3m1!4b1!4m6!3m5!1s0x3bd4c0606200fac9:0x81d9c3ed0879012c!8m2!3d21.1421707!4d79.061653!16s%2Fg%2F11b7vtzv8q?hl=en",21.1421707,79.061653,Yes,Yes,511,ALL
20,Shree Ganesh Sagar,4.1,3545,"40, 41 West Park Road Opp. Yashwant Stadium",+91 94236 38483,South Indian restaurant,"https://www.google.com/maps/place/Shree+Ganesh+Sagar/@21.1381306,79.0813516,17z/data=!3m1!4b1!4m6!3m5!1s0x3bd4c0949c913569:0xdc195b9b48c615a1!8m2!3d21.1381306!4d79.0813516!16s%2Fg%2F1q62b6j9y?hl=en",21.1381306,79.0813516,Yes,Yes,699,ALL
21,Haldiram's Express,4.2,3544,"3, Center One Building, Hingna Rd, beside Old Hingna Naka",+91 70300 00146,Restaurant,"https://www.google.com/maps/place/Haldiram's+Express/@21.1185188,79.018471,17z/data=!3m1!4b1!4m6!3m5!1s0x3bd4eaaabd9ad69d:0x832404469f3e59cc!8m2!3d21.1185188!4d79.018471!16s%2Fg%2F11g8n3_1kh?hl=en",21.1185188,79.018471,Yes,Yes,524,ALL
22,Domino's Pizza,4.1,3525,"Plot No. 22 A, Ground Floor, Paryavaran Nagar Wardha Road Somalwada Square Narendra Nagar, Badil Kheda",+91 1800 208 1234,Pizza restaurant,"https://www.google.com/maps/place/Domino's+Pizza/@21.0985173,79.067254,17z/data=!3m1!4b1!4m6!3m5!1s0x3bd4bf7502b3aa05:0xf2181aa0efc9bbe0!8m2!3d21.0985173!4d79.067254!16s%2Fg%2F11_t8dh4q?hl=en",21.0985173,79.067254,Yes,Yes,672,ALL
23,Sanjha Chullah Restaurant,3.9,3522,"Near Saraf chambers, next to fidvi tower, Mount Rd",+91 712 255 6859,North Indian restaurant,"https://www.google.com/maps/place/Sanjha+Chullah+Restaurant/@21.1595197,79.0786802,17z/data=!3m1!4b1!4m6!3m5!1s0x3bd4c0c011f8b8d1:0x7d42ae3cd03e7313!8m2!3d21.1595197!4d79.0786802!16s%2Fg%2F1xtf00hs?hl=en",21.1595197,79.0786802,No,Yes,687,CASH AND UPI
24,Shree Gayatri Bhojanalay,4.2,3411,"Plot no.13, Shantam Apartment, Cement Rd",+91 712 224 5255,Vegetarian restaurant,"https://www.google.com/maps/place/Shree+Gayatri+Bhojanalay/@21.11571,79.0565979,17z/data=!3m1!4b1!4m6!3m5!1s0x3bd4bf86f1d6453d:0xa2140dcdd24a74d!8m2!3d21.11571!4d79.0565979!16s%2Fg%2F124sxry46?hl=en",21.11571,79.0565979,Yes,Yes,857,ALL
25,Krishnum Restaurant,4,3377,"1247, Wardha Rd",+91 73873 72929,Restaurant,"https://www.google.com/maps/place/Krishnum+Restaurant/@21.1134565,79.0705837,17z/data=!3m1!4b1!4m6!3m5!1s0x3bd4bf7be471f96f:0x8930ac8eba21352d!8m2!3d21.1134565!4d79.0705837!16s%2Fg%2F1tfkp63t?hl=en",21.1134565,79.0705837,Yes,Yes,560,ALL
26,Amaira,4.2,3370,"First Floor, MG House, Rabindranath Tagore Rd, above Axis Bank",+91 88880 36666,Vegetarian restaurant,"https://www.google.com/maps/place/Amaira/@21.1494038,79.0739943,17z/data=!3m1!4b1!4m6!3m5!1s0x3bd4c0588e1f7f43:0x716ccdf4833474da!8m2!3d21.1494038!4d79.0739943!16s%2Fg%2F11b7yblrtt?hl=en",21.1494038,79.0739943,Yes,Yes,840,ALL
27,Haldiram's Thaat Baat Restaurant,4.3,3296,"125, Abhyankar Marg",+91 712 254 0946,Rajasthani restaurant,"https://www.google.com/maps/place/Haldiram's+Thaat+Baat+Restaurant/@21.1428103,79.0815081,17z/data=!3m1!4b1!4m6!3m5!1s0x3bd4c0949c3f707f:0xeafcde4b3a44ab72!8m2!3d21.1428103!4d79.0815081!16s%2Fg%2F11ggmn5f43?hl=en",21.1428103,79.0815081,Yes,Yes,613,ALL
28,Checkers Restaurant SJTI,4.4,3228,"SJTI Complex, Chindwada Rd",+91 77220 03978,Family restaurant,"https://www.google.com/maps/place/Checkers+Restaurant+SJTI/@21.1604022,79.079909,17z/data=!3m1!4b1!4m6!3m5!1s0x3bd4c0e440255545:0x75404bca405e3538!8m2!3d21.1604022!4d79.079909!16s%2Fg%2F11b6bw_w7x?hl=en",21.1604022,79.079909,Yes,Yes,659,ALL
29,The Breakfast Story,4.3,3067,"Sagar Apartment, D1-A Sai, 271, Hingna Rd, opp. Transmitting Station",+91 712 223 4170,Breakfast restaurant,"https://www.google.com/maps/place/The+Breakfast+Story/@21.1232894,79.0386039,17z/data=!3m1!4b1!4m6!3m5!1s0x3bd4c009231b7585:0x5a99384c6b8cbda7!8m2!3d21.1232894!4d79.0386039!16s%2Fg%2F1pycnqtlm?hl=en",21.1232894,79.0386039,Yes,Yes,785,ALL
30,Hotel Al Zam Zam,4,3041,"Sq, 28, Central Ave, beside Hotel Al Zam-Zam",+91 93257 66143,Restaurant,"https://www.google.com/maps/place/Hotel+Al+Zam+Zam/@21.1493225,79.1139831,17z/data=!3m1!4b1!4m9!3m8!1s0x3bd4c735ca3d7537:0xf9e721dc2bd9c1ff!5m2!4m1!1i2!8m2!3d21.1493225!4d79.1139831!16s%2Fg%2F1tzzszj9?hl=en",21.1493225,79.1139831,Yes,Yes,958,ALL
31,Bouffage Cafe And Bistro,4.3,2987,"Sanskrutik Sankul Complex, Lower Ground B Wing Ambazari Road Wockhardt Hospitals Rashtra Bhasha",+91 96896 99992,Restaurant,"https://www.google.com/maps/place/Bouffage+Cafe+And+Bistro/@21.1344121,79.0583702,17z/data=!3m1!4b1!4m6!3m5!1s0x3bd4c0647cc2b92f:0x1fb168af4377a067!8m2!3d21.1344121!4d79.0583702!16s%2Fg%2F11gdhgyn8l?hl=en",21.1344121,79.0583702,Yes,Yes,620,ALL
32,The Food Garage,3.8,2968,"Wardha Rd, near Khapri Naka",+91 90665 71111,Family restaurant,"https://www.google.com/maps/place/The+Food+Garage/@21.0583921,79.0547982,17z/data=!3m1!4b1!4m6!3m5!1s0x3bd4be5ae65de81d:0x340a1b2c2a28fcf0!8m2!3d21.0583921!4d79.0547982!16s%2Fg%2F11f31prvvj?hl=en",21.0583921,79.0547982,Yes,Yes,760,CASH AND UPI
33,Pahunchar The Family Restaurant,4.1,2918,"34,Mire layout, opp. HP Petrol pump",,Family restaurant,"https://www.google.com/maps/place/Pahunchar+The+Family+Restaurant/@21.1285641,79.1229379,17z/data=!3m1!4b1!4m6!3m5!1s0x3bd4c75990ab8a23:0x4f5137c258d9d3a5!8m2!3d21.1285641!4d79.1229379!16s%2Fg%2F11f121vbqh?hl=en",21.1285641,79.1229379,Yes,Yes,998,ALL
34,Anna Idli,4.2,2886,"House No 128, Ground Floor, S Ambazari Rd",+91 72628 82200,South Indian restaurant,"https://www.google.com/maps/place/Anna+Idli/@21.1229932,79.0576604,17z/data=!3m1!4b1!4m6!3m5!1s0x3bd4c12279cc52b7:0xc043663dbfac783c!8m2!3d21.1229932!4d79.0576604!16s%2Fg%2F11rhs7579m?hl=en",21.1229932,79.0576604,Yes,Yes,518,ALL
35,Krishnum Food Plaza,3.9,2873,"1, Mount Rd, near Fidvi Tower, opp. Saraf Chambers",+91 712 278 3333,Restaurant,"https://www.google.com/maps/place/Krishnum+Food+Plaza/@21.1596407,79.0773846,17z/data=!3m1!4b1!4m6!3m5!1s0x3bd4c0e4e4d38d73:0x4ff2ff9587e4857d!8m2!3d21.1596407!4d79.0773846!16s%2Fg%2F1td7g5pt?hl=en",21.1596407,79.0773846,No,Yes,803,CASH AND UPI
36,Calcutta Rolls,3.9,2851,"Ground Ramesh Bhawan Shop No. 216 United bank Of India, Ambazari Rd",+91 93731 95006,Fast food restaurant,"https://www.google.com/maps/place/Calcutta+Rolls/@21.136187,79.061045,17z/data=!3m1!4b1!4m6!3m5!1s0x3bd4c063c89d3fb1:0x8c59b4e4889aca42!8m2!3d21.136187!4d79.061045!16s%2Fg%2F1w34522_?hl=en",21.136187,79.061045,No,Yes,911,CASH AND UPI
37,Domino's Pizza,4.1,2803,"Shop No. 2, 3A, Ground Floor,Plot no 3,4&5 Pioneer Sunshine Apartments, Katol Rd",+91 1800 208 1234,Pizza restaurant,"https://www.google.com/maps/place/Domino's+Pizza/@21.1762505,79.0500524,17z/data=!3m1!4b1!4m6!3m5!1s0x3bd4c1b0a4e1e81d:0x9ac4936a594559c3!8m2!3d21.1762505!4d79.0500524!16s%2Fg%2F11clv6prdv?hl=en",21.1762505,79.0500524,Yes,Yes,779,ALL
38,Delhi Darbar,3.6,2803,Chinchbhavan Square Wardha Road,+91 78750 87625,North Indian restaurant,"https://www.google.com/maps/place/Delhi+Darbar/@21.0671275,79.0581178,17z/data=!3m1!4b1!4m6!3m5!1s0x3bd4be53e6674a6f:0xe3445b2a2e8a99a!8m2!3d21.0671275!4d79.0581178!16s%2Fg%2F1q6crdjrs?hl=en",21.0671275,79.0581178,Yes,Yes,660,CASH AND UPI
39,Little Italy,4.2,2677,"Plot No.1, near MLA Host",+91 96373 95000,Italian restaurant,"https://www.google.com/maps/place/Little+Italy/@21.1494952,79.066155,17z/data=!3m1!4b1!4m6!3m5!1s0x3bd4c0f5d5eb1ed7:0xf9ce865bc55f7986!8m2!3d21.1494952!4d79.066155!16s%2Fg%2F11dxd4t466?hl=en",21.1494952,79.066155,Yes,Yes,871,ALL
40,Venu Corner,3.8,2643,"4463+6CM, Manewada Rd",,Vegetarian restaurant,"https://www.google.com/maps/place/Venu+Corner/@21.1105806,79.1035472,17z/data=!3m1!4b1!4m6!3m5!1s0x3bd4bf4e02565dc7:0x66f75ff2f63da916!8m2!3d21.1105806!4d79.1035472!16s%2Fg%2F1hjh6ylmy?hl=en",21.1105806,79.1035472,No,Yes,890,CASH AND UPI
41,"Three Beans Coffee Bar, Dharampeth",4.1,2604,"Plot no 5/19, JB Thakkar Marg, Janki Apartment",+91 712 664 1707,Coffee shop,"https://www.google.com/maps/place/Three+Beans+Coffee+Bar,+Dharampeth/@21.1458083,79.0632957,17z/data=!3m1!4b1!4m6!3m5!1s0x3bd4c05f97510f2d:0x7c496feeca95b250!8m2!3d21.1458083!4d79.0632957!16s%2Fg%2F11g6yhbn3v?hl=en",21.1458083,79.0632957,Yes,Yes,500,ALL
42,Hotel Al-Kausar,4,2452,"534W+FMF, Mohammed Ali Road, Mominpura",,Indian restaurant,"https://www.google.com/maps/place/Hotel+Al-Kausar/@21.156185,79.0966833,17z/data=!3m1!4b1!4m6!3m5!1s0x3bd4c0c5395b28d3:0x269cbd906e16a58d!8m2!3d21.156185!4d79.0966833!16s%2Fg%2F1tr9lx32?hl=en",21.156185,79.0966833,Yes,Yes,725,ALL
43,Icecube Pub & Restaurant,4,2372,"Mount Rd, Beside Titan Showroom",+91 91682 33514,Bar & grill,"https://www.google.com/maps/place/Icecube+Pub+%26+Restaurant/@21.1587063,79.0810516,17z/data=!3m1!4b1!4m6!3m5!1s0x3bd4c0e5d6c607b5:0xac36fde674491ee0!8m2!3d21.1587063!4d79.0810516!16s%2Fg%2F1q62f63ln?hl=en",21.1587063,79.0810516,Yes,Yes,515,ALL
44,Dahiya Momos,4.3,2357,"Mangalmurti complex 2nd floor, opp. Indian oil petrol pump",+91 85301 97997,Fast food restaurant,"https://www.google.com/maps/place/Dahiya+Momos/@21.1140089,79.0439309,17z/data=!3m1!4b1!4m6!3m5!1s0x3bd4bff4dca80bf9:0xa29603891c8e26c4!8m2!3d21.1140089!4d79.0439309!16s%2Fg%2F11gbwzy50q?hl=en",21.1140089,79.0439309,Yes,Yes,534,ALL
45,New Paratha Shop Restaurant,4.1,2336,"Guman Building, Residency Rd",+91 93260 54466,Punjabi restaurant,"https://www.google.com/maps/place/New+Paratha+Shop+Restaurant/@21.1613118,79.0797481,17z/data=!3m1!4b1!4m6!3m5!1s0x3bd4c0e46c6a3a49:0x468505fb66974a15!8m2!3d21.1613118!4d79.0797481!16s%2Fg%2F124yf4_ys?hl=en",21.1613118,79.0797481,Yes,Yes,693,ALL
46,Samosawala,3.9,2261,525X+8PH,,Indian restaurant,"https://www.google.com/maps/place/Samosawala/@21.1583238,79.0493448,17z/data=!3m1!4b1!4m6!3m5!1s0x3bd4c04eec020a07:0x3faa9304dbf8f28b!8m2!3d21.1583238!4d79.0493448!16s%2Fg%2F1hm1_tctx?hl=en",21.1583238,79.0493448,No,Yes,869,CASH AND UPI
47,Bula's Kitchen,4,2245,"Khamla Square, Ring Rd, Beside Arun Bajaj",+91 98909 77366,Fast food restaurant,"https://www.google.com/maps/place/Bula's+Kitchen/@21.1123324,79.0631682,17z/data=!3m1!4b1!4m6!3m5!1s0x3bd4c061606d181b:0x2c8c72a590807b2f!8m2!3d21.1123324!4d79.0631682!16s%2Fg%2F1tfcx7_m?hl=en",21.1123324,79.0631682,Yes,Yes,768,ALL
48,Navaratna Raghav,4.1,2145,"33, Mount Rd, near Limbanna Motor Garage",+91 72764 59678,Rajasthani restaurant,"https://www.google.com/maps/place/Navaratna+Raghav/@21.1599495,79.0770206,17z/data=!3m1!4b1!4m6!3m5!1s0x3bd4c0e4c3aa3065:0x6e58218c22dbd3d!8m2!3d21.1599495!4d79.0770206!16s%2Fg%2F1pp2x8btx?hl=en",21.1599495,79.0770206,Yes,Yes,994,ALL
49,Hitchki Nagpur,4.5,2110,"Park Avenue, Plot no. 2/1 & 11/2 12th and Terrace Floor, Chhaoni Rd",+91 712 405 9278,Restaurant,"https://www.google.com/maps/place/Hitchki+Nagpur/@21.166829,79.0833288,17z/data=!3m1!4b1!4m6!3m5!1s0x3bd4c10db8d7c871:0x36211653a4f78894!8m2!3d21.166829!4d79.0833288!16s%2Fg%2F11rn0rbywx?hl=en",21.166829,79.0833288,Yes,Yes,917,ALL
50,Domino's Pizza,4.1,2058,"G 5,G-6 & G-102 Pioneer Society, Hingna Rd",+91 1800 208 1234,Pizza restaurant,"https://www.google.com/maps/place/Domino's+Pizza/@21.118559,79.018461,17z/data=!3m1!4b1!4m6!3m5!1s0x3bd4eaaa8654fc2b:0x4b0cf4721a1509f7!8m2!3d21.118559!4d79.018461!16s%2Fg%2F11bwcycqyq?hl=en",21.118559,79.018461,Yes,Yes,645,ALL
51,"AB's - Absolute Barbecues | Dharampet, Nagpur",4.3,2044,"NO. 15, SURVEY NO. 962, STREET, 24, W High Ct Rd",+91 73373 36848,Barbecue restaurant,"https://www.google.com/maps/place/AB's+-+Absolute+Barbecues+%7C+Dharampet,+Nagpur/@21.143276,79.0612804,17z/data=!3m1!4b1!4m6!3m5!1s0x3bd4c142efbc10a3:0x13a613f01f8c6ee7!8m2!3d21.143276!4d79.0612804!16s%2Fg%2F11qn82n7hd?hl=en",21.143276,79.0612804,Yes,Yes,625,ALL
52,Café Illusions,4.1,2021,"Lad Apartments, Shop No 3/4/5/6, Ambazari Rd",+91 712 661 7261,Restaurant,"https://www.google.com/maps/place/Caf%C3%A9+Illusions/@21.1369982,79.0650637,17z/data=!3m1!4b1!4m6!3m5!1s0x3bd4c062058bc7eb:0x41d184ed02a90439!8m2!3d21.1369982!4d79.0650637!16s%2Fg%2F1260407bx?hl=en",21.1369982,79.0650637,Yes,Yes,793,ALL
53,Tattwam,4.1,2008,"Manomay Plaza, 272,TATTWAM RESTAURANT, Central Bazar Road",+91 712 244 8244,Restaurant,"https://www.google.com/maps/place/Tattwam/@21.1327123,79.0699562,17z/data=!3m1!4b1!4m6!3m5!1s0x3bd4c1fa2339a1f7:0xbdbe66729dfabd8d!8m2!3d21.1327123!4d79.0699562!16s%2Fg%2F11m422fwm1?hl=en",21.1327123,79.0699562,Yes,Yes,546,ALL
54,The Common Ground - Sports Cafe & Restro,4,1998,Central Bazar Road,+91 98600 03727,Cafe,"https://www.google.com/maps/place/The+Common+Ground+-+Sports+Cafe+%26+Restro/@21.1307314,79.0633641,17z/data=!3m1!4b1!4m6!3m5!1s0x3bd4c14a099636c5:0x84a0861c3a26a23!8m2!3d21.1307314!4d79.0633641!16s%2Fg%2F11gmfhz0l2?hl=en",21.1307314,79.0633641,Yes,Yes,794,ALL
55,Cafe Villa 55.,3.9,1996,"55, Canal Rd Gokulpeth",+91 93258 96997,Cafe,"https://www.google.com/maps/place/Cafe+Villa+55./@21.1448573,79.0576971,17z/data=!3m1!4b1!4m6!3m5!1s0x3bd4c05dc69cac89:0x8dccd4e14c4d0620!8m2!3d21.1448573!4d79.0576971!16s%2Fg%2F11g8xgc1hf?hl=en",21.1448573,79.0576971,Yes,Yes,540,CASH AND UPI
56,SHANKAR SAOJI RESTAURANT,4.2,1985,Gajanan Mandir Rd,+91 97303 74083,Restaurant,"https://www.google.com/maps/place/SHANKAR+SAOJI+RESTAURANT/@21.1112904,79.0395355,17z/data=!3m1!4b1!4m6!3m5!1s0x3bd4bff373c11295:0x9f2e1bd5e172b9f3!8m2!3d21.1112904!4d79.0395355!16s%2Fg%2F11hd7fv_hb?hl=en",21.1112904,79.0395355,Yes,Yes,996,ALL
57,Banjara's CHULLA,3.7,1949,"Opp Narayanan Vidyalayam, Chinchbhawan, Wardha Rd",+91 86682 88168,Indian restaurant,"https://www.google.com/maps/place/Banjara's+CHULLA/@21.0597118,79.055506,17z/data=!3m1!4b1!4m6!3m5!1s0x3bd4be5a9b31256d:0x4cd9b9b73bd1c313!8m2!3d21.0597118!4d79.055506!16s%2Fg%2F11gbfntyvw?hl=en",21.0597118,79.055506,No,Yes,907,CASH AND UPI
58,Desi Grill,3.9,1853,"493, Shree Mangalamurti lawn, 494, Nandanvan Main Rd",+91 98906 43307,Restaurant,"https://www.google.com/maps/place/Desi+Grill/@21.1301177,79.1191731,17z/data=!3m1!4b1!4m6!3m5!1s0x3bd4c750c5e351c3:0xd0d98d00bc80da67!8m2!3d21.1301177!4d79.1191731!16s%2Fg%2F11cm0j3skg?hl=en",21.1301177,79.1191731,No,Yes,590,CASH AND UPI
59,Urban Hermitage,4.2,1850,"21, Wardha Road, Kannawar Nagar, Near Airport",+91 712 669 9999,Hotel,"https://www.google.com/maps/place/Urban+Hermitage/@21.0886162,79.0646019,17z/data=!3m1!4b1!4m9!3m8!1s0x3bd4bf09deb87747:0x47b8f21cab4d24c6!5m2!4m1!1i2!8m2!3d21.0886162!4d79.0646019!16s%2Fg%2F11clwnqqtq?hl=en",21.0886162,79.0646019,Yes,Yes,760,ALL
